id,event_title,date,ride_time,distance_km,vertical_m,longitude,latitude,yes_rsvp_count,event_url,href,href_short,route_href,photo_href
239030723,St Kilda - Arthur's Seat,2017-04-15,08:00,173,1410,144.975998,-37.869354,25,https://www.meetup.com/melbournecycling/events/239030723/,"<a href='https://www.meetup.com/melbournecycling/events/239030723/'>St Kilda - Arthur's Seat (173km, +1410vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/239030723/'>St Kilda - Arthur's Seat</a>,<a href='https://ridewithgps.com/routes/16339079'>https://ridewithgps.com/routes/16339079</a>,"<img src=""http://photos3.meetupstatic.com/photos/event/c/9/c/7/600_453771655.jpeg"" />"
238524840,Stunning Highlands Loop: Broadford - Yea,2017-04-01,08:15,138,1670,145.049561,-37.203522,17,https://www.meetup.com/melbournecycling/events/238524840/,"<a href='https://www.meetup.com/melbournecycling/events/238524840/'>Stunning Highlands Loop: Broadford - Yea (138km, +1670vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/238524840/'>Stunning Highlands Loop: Broadford - Yea</a>,<a href='https://ridewithgps.com/routes/15270601'>https://ridewithgps.com/routes/15270601</a>,"<img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/3/9/9/600_452640921.jpeg"" />"
238458406,Fast (35kph+) Beach Road & Mt Eliza Loop,2017-03-18,07:30,100,560,144.975998,-37.869354,11,https://www.meetup.com/melbournecycling/events/238458406/,"<a href='https://www.meetup.com/melbournecycling/events/238458406/'>Fast (35kph+) Beach Road & Mt Eliza Loop (~100km, +560vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/238458406/'>Fast (35kph+) Beach Road & Mt Eliza Loop</a>,<a href='https://ridewithgps.com/routes/13444017'>https://ridewithgps.com/routes/13444017</a>,"<img src=""http://photos1.meetupstatic.com/photos/event/c/f/2/c/600_449513036.jpeg"" />"
237868145,Dirty Donna Loop,2017-03-04,08:30,116,2570,145.427765,-37.780846,14,https://www.meetup.com/melbournecycling/events/237868145/,"<a href='https://www.meetup.com/melbournecycling/events/237868145/'>Dirty Donna Loop (116km, +2570vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/237868145/'>Dirty Donna Loop</a>,<a href='https://ridewithgps.com/routes/16654849'>https://ridewithgps.com/routes/16654849</a>,"<img src=""http://photos3.meetupstatic.com/photos/event/2/d/9/d/600_458531677.jpeg"" />"
237185573,Dandenongs Octopus,2017-02-18,08:00,117,2960,145.316101,-37.856037,16,https://www.meetup.com/melbournecycling/events/237185573/,"<a href='https://www.meetup.com/melbournecycling/events/237185573/'>Dandenongs Octopus (117km, +2960vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/237185573/'>Dandenongs Octopus</a>,<a href='https://ridewithgps.com/routes/18628586'>https://ridewithgps.com/routes/18628586</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/d/a/2/d/600_457795853.jpeg"" />"
237284750,Beautiful Bass Hills Loop,2017-02-11,08:30,118,1680,145.706528,-38.368561,17,https://www.meetup.com/melbournecycling/events/237284750/,"<a href='https://www.meetup.com/melbournecycling/events/237284750/'>Beautiful Bass Hills Loop (118km, +1680vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/237284750/'>Beautiful Bass Hills Loop</a>,<a href='https://ridewithgps.com/routes/17261744'>https://ridewithgps.com/routes/17261744</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/6/d/b/8/600_457888088.jpeg"" />"
236766888,Mt Buninyong and beyond,2017-01-28,08:30,142,1730,143.883911,-37.649582,14,https://www.meetup.com/melbournecycling/events/236766888/,"<a href='https://www.meetup.com/melbournecycling/events/236766888/'>Mt Buninyong and beyond (142km, +1730vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/236766888/'>Mt Buninyong and beyond</a>,<a href='https://ridewithgps.com/routes/18413402'>https://ridewithgps.com/routes/18413402</a>,"<img src=""http://photos2.meetupstatic.com/photos/event/4/9/d/1/600_457398897.jpeg"" />"
236765904,Fast (35k+) Beach Rd + the 'Race Melbourne' crit at Albert Park,2017-01-26,08:00,100,560,144.975998,-37.869354,14,https://www.meetup.com/melbournecycling/events/236765904/,"<a href='https://www.meetup.com/melbournecycling/events/236765904/'>Fast (35k+) Beach Rd (~100km,+560vm) + the 'Race Melbourne' crit at Albert Park</a>",<a href='https://www.meetup.com/melbournecycling/events/236765904/'>Fast (35k+) Beach Rd + the 'Race Melbourne' crit at Albert Park</a>,<a href='https://ridewithgps.com/routes/13444017'>https://ridewithgps.com/routes/13444017</a>,"<img src=""http://photos1.meetupstatic.com/photos/event/c/f/2/c/600_449513036.jpeg"" />"
236855717,Adelaide - Willunga Hill to watch TDU Stage 5,2017-01-21,08:30,129,2100,138.609161,-34.972858,7,https://www.meetup.com/melbournecycling/events/236855717/,"<a href='https://www.meetup.com/melbournecycling/events/236855717/'>Adelaide - Willunga Hill to watch TDU Stage 5 (129km, +2100vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/236855717/'>Adelaide - Willunga Hill to watch TDU Stage 5</a>,<a href='https://ridewithgps.com/routes/18455161'>https://ridewithgps.com/routes/18455161</a>,"<img src=""http://photos2.meetupstatic.com/photos/event/1/a/0/e/600_457446670.jpeg"" />"
236691556,Fast (35kph+) Beach Road & Mt Eliza Loop,2017-01-15,07:30,100,560,144.990662,-37.890594,21,https://www.meetup.com/melbournecycling/events/236691556/,"<a href='https://www.meetup.com/melbournecycling/events/236691556/'>Fast (35kph+) Beach Road & Mt Eliza Loop (~100km, +560vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/236691556/'>Fast (35kph+) Beach Road & Mt Eliza Loop</a>,<a href='https://ridewithgps.com/routes/13444017'>https://ridewithgps.com/routes/13444017</a>,"<img src=""http://photos1.meetupstatic.com/photos/event/c/f/2/c/600_449513036.jpeg"" />"
